,Statistic,tumor_stage,value,MCCV
0,TP,i,2,0
1,FP,i,5,0
2,FN,i,6,0
3,TN,i,8,0
4,TP,ii,1,0
0,TP,i,2,1
1,FP,i,9,1
2,FN,i,7,1
3,TN,i,3,1
4,TP,ii,0,1
0,TP,i,3,2
1,FP,i,4,2
2,FN,i,8,2
3,TN,i,6,2
4,TP,ii,2,2
0,TP,i,3,3
1,FP,i,3,3
2,FN,i,6,3
3,TN,i,9,3
4,TP,ii,0,3
0,TP,i,6,4
1,FP,i,8,4
2,FN,i,4,4
3,TN,i,3,4
4,TP,ii,2,4
0,TP,i,5,5
1,FP,i,4,5
2,FN,i,4,5
3,TN,i,8,5
4,TP,ii,1,5
0,TP,i,2,6
1,FP,i,7,6
2,FN,i,8,6
3,TN,i,4,6
4,TP,ii,1,6
0,TP,i,2,7
1,FP,i,5,7
2,FN,i,4,7
3,TN,i,10,7
4,TP,ii,1,7
0,TP,i,2,8
1,FP,i,9,8
2,FN,i,2,8
3,TN,i,8,8
4,TP,ii,2,8
0,TP,i,2,9
1,FP,i,5,9
2,FN,i,3,9
3,TN,i,11,9
4,TP,ii,0,9
0,TP,i,4,10
1,FP,i,9,10
2,FN,i,2,10
3,TN,i,6,10
4,TP,ii,0,10
0,TP,i,4,11
1,FP,i,5,11
2,FN,i,3,11
3,TN,i,9,11
4,TP,ii,2,11
0,TP,i,1,12
1,FP,i,4,12
2,FN,i,8,12
3,TN,i,8,12
4,TP,ii,1,12
0,TP,i,2,13
1,FP,i,7,13
2,FN,i,7,13
3,TN,i,5,13
4,TP,ii,0,13
0,TP,i,4,14
1,FP,i,4,14
2,FN,i,4,14
3,TN,i,9,14
4,TP,ii,0,14
0,TP,i,2,15
1,FP,i,4,15
2,FN,i,10,15
3,TN,i,5,15
4,TP,ii,0,15
0,TP,i,3,16
1,FP,i,4,16
2,FN,i,6,16
3,TN,i,8,16
4,TP,ii,1,16
0,TP,i,3,17
1,FP,i,6,17
2,FN,i,2,17
3,TN,i,10,17
4,TP,ii,2,17
0,TP,i,3,18
1,FP,i,5,18
2,FN,i,6,18
3,TN,i,7,18
4,TP,ii,1,18
0,TP,i,1,19
1,FP,i,3,19
2,FN,i,6,19
3,TN,i,11,19
4,TP,ii,2,19
0,TP,i,5,20
1,FP,i,5,20
2,FN,i,4,20
3,TN,i,7,20
4,TP,ii,1,20
0,TP,i,7,21
1,FP,i,3,21
2,FN,i,5,21
3,TN,i,6,21
4,TP,ii,0,21
0,TP,i,2,22
1,FP,i,5,22
2,FN,i,5,22
3,TN,i,9,22
4,TP,ii,1,22
0,TP,i,1,23
1,FP,i,2,23
2,FN,i,10,23
3,TN,i,8,23
4,TP,ii,0,23
0,TP,i,2,24
1,FP,i,7,24
2,FN,i,8,24
3,TN,i,4,24
4,TP,ii,0,24
0,TP,i,2,25
1,FP,i,3,25
2,FN,i,7,25
3,TN,i,9,25
4,TP,ii,1,25
0,TP,i,2,26
1,FP,i,3,26
2,FN,i,6,26
3,TN,i,10,26
4,TP,ii,2,26
0,TP,i,2,27
1,FP,i,6,27
2,FN,i,5,27
3,TN,i,8,27
4,TP,ii,0,27
0,TP,i,2,28
1,FP,i,7,28
2,FN,i,7,28
3,TN,i,5,28
4,TP,ii,0,28
0,TP,i,2,29
1,FP,i,3,29
2,FN,i,7,29
3,TN,i,9,29
4,TP,ii,1,29
0,TP,i,5,30
1,FP,i,6,30
2,FN,i,3,30
3,TN,i,7,30
4,TP,ii,1,30
0,TP,i,4,31
1,FP,i,5,31
2,FN,i,5,31
3,TN,i,7,31
4,TP,ii,2,31
0,TP,i,2,32
1,FP,i,7,32
2,FN,i,4,32
3,TN,i,8,32
4,TP,ii,0,32
0,TP,i,0,33
1,FP,i,6,33
2,FN,i,5,33
3,TN,i,10,33
4,TP,ii,3,33
0,TP,i,1,34
1,FP,i,6,34
2,FN,i,4,34
3,TN,i,10,34
4,TP,ii,0,34
0,TP,i,3,35
1,FP,i,5,35
2,FN,i,6,35
3,TN,i,7,35
4,TP,ii,2,35
0,TP,i,4,36
1,FP,i,3,36
2,FN,i,5,36
3,TN,i,9,36
4,TP,ii,0,36
0,TP,i,3,37
1,FP,i,0,37
2,FN,i,11,37
3,TN,i,7,37
4,TP,ii,1,37
0,TP,i,1,38
1,FP,i,1,38
2,FN,i,9,38
3,TN,i,10,38
4,TP,ii,2,38
0,TP,i,1,39
1,FP,i,5,39
2,FN,i,7,39
3,TN,i,8,39
4,TP,ii,2,39
0,TP,i,2,40
1,FP,i,7,40
2,FN,i,3,40
3,TN,i,9,40
4,TP,ii,2,40
0,TP,i,3,41
1,FP,i,4,41
2,FN,i,7,41
3,TN,i,7,41
4,TP,ii,2,41
0,TP,i,3,42
1,FP,i,4,42
2,FN,i,2,42
3,TN,i,12,42
4,TP,ii,1,42
0,TP,i,4,43
1,FP,i,6,43
2,FN,i,4,43
3,TN,i,7,43
4,TP,ii,3,43
0,TP,i,2,44
1,FP,i,6,44
2,FN,i,7,44
3,TN,i,6,44
4,TP,ii,0,44
0,TP,i,2,45
1,FP,i,4,45
2,FN,i,6,45
3,TN,i,9,45
4,TP,ii,2,45
0,TP,i,3,46
1,FP,i,3,46
2,FN,i,7,46
3,TN,i,8,46
4,TP,ii,1,46
0,TP,i,3,47
1,FP,i,4,47
2,FN,i,7,47
3,TN,i,7,47
4,TP,ii,2,47
0,TP,i,2,48
1,FP,i,5,48
2,FN,i,7,48
3,TN,i,7,48
4,TP,ii,1,48
0,TP,i,3,49
1,FP,i,6,49
2,FN,i,3,49
3,TN,i,9,49
4,TP,ii,1,49
0,TP,i,2,50
1,FP,i,4,50
2,FN,i,6,50
3,TN,i,9,50
4,TP,ii,0,50
0,TP,i,5,51
1,FP,i,4,51
2,FN,i,4,51
3,TN,i,8,51
4,TP,ii,0,51
0,TP,i,5,52
1,FP,i,4,52
2,FN,i,1,52
3,TN,i,11,52
4,TP,ii,1,52
0,TP,i,3,53
1,FP,i,8,53
2,FN,i,5,53
3,TN,i,5,53
4,TP,ii,0,53
0,TP,i,2,54
1,FP,i,3,54
2,FN,i,5,54
3,TN,i,11,54
4,TP,ii,0,54
0,TP,i,2,55
1,FP,i,3,55
2,FN,i,6,55
3,TN,i,10,55
4,TP,ii,3,55
0,TP,i,2,56
